model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
Qwen3.6-27B,FlowPilot,CuAAC,residence_time_min,3,2.000034,1.30003035,65.0004,0.5,2.800075
Qwen3.6-27B,FlowPilot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
Qwen3.6-27B,FlowPilot,Hydrogenolysis,flow_rate_mL_min,3,0.13440667,0.015035,11.1862,0.11824,0.14797
Qwen3.6-27B,FlowPilot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
Qwen3.6-27B,FlowPilot,Hydrogenolysis,residence_time_min,3,22.51423867,2.60446083,11.5681,20.27438,25.372124
Qwen3.6-27B,FlowPilot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
Qwen3.6-27B,FlowPilot,Photochemical oxidation,flow_rate_mL_min,3,0.62136,0.0,0.0,0.62136,0.62136
Qwen3.6-27B,FlowPilot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
Qwen3.6-27B,FlowPilot,Photochemical oxidation,residence_time_min,3,1.609373,0.0,0.0,1.609373,1.609373
Qwen3.6-27B,FlowPilot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
Qwen3.6-27B,One-shot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
Qwen3.6-27B,One-shot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
Qwen3.6-27B,One-shot,CuAAC,flow_rate_mL_min,3,0.16666667,0.11547005,69.282,0.1,0.3
Qwen3.6-27B,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
Qwen3.6-27B,One-shot,CuAAC,residence_time_min,3,2.33333333,1.15470054,49.4872,1.0,3.0
Qwen3.6-27B,One-shot,CuAAC,temperature_C,3,150.0,0.0,0.0,150.0,150.0
Qwen3.6-27B,One-shot,Hydrogenolysis,BPR_bar,3,21.0,0.0,0.0,21.0,21.0
Qwen3.6-27B,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
Qwen3.6-27B,One-shot,Hydrogenolysis,flow_rate_mL_min,3,0.13666667,0.14843629,108.6119,0.01,0.3
Qwen3.6-27B,One-shot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
Qwen3.6-27B,One-shot,Hydrogenolysis,residence_time_min,3,113.33333333,161.96707484,142.9121,10.0,300.0
Qwen3.6-27B,One-shot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
Qwen3.6-27B,One-shot,Photochemical oxidation,BPR_bar,3,3.0,0.0,0.0,3.0,3.0
Qwen3.6-27B,One-shot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
Qwen3.6-27B,One-shot,Photochemical oxidation,flow_rate_mL_min,3,0.12233333,0.03868247,31.6205,0.1,0.167
Qwen3.6-27B,One-shot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
Qwen3.6-27B,One-shot,Photochemical oxidation,residence_time_min,3,8.66666667,2.30940108,26.6469,6.0,10.0
Qwen3.6-27B,One-shot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
