candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-33C43F95,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.955128,0.942308,0.040032,0.971154,0,0,openai,repeat_03,1998619370,61b712a23d3f2a3447c1cbd14c29b5981878843dcbcda51cfc327c8ac259b080,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/photochemical_oxidation/openai_flowpilot/repeat_03
N2-45C1A6CF,GPT-5.4,openai,One-shot,CuAAC,0.9375,0.9375,0.0625,0.96875,0,0,openai,repeat_01,433069568,3aceea14639df4569d3b7a19782ead69c3f678a84ead4a356260d258d13f08af,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/cuaac/openai_one_shot/repeat_01
N2-D85E475A,GPT-5.4,openai,One-shot,CuAAC,0.944444,0.958333,0.063647,0.979167,0,0,openai,repeat_02,234541118,0c8065d4fa2eec89f9e1fd0f4909ea225ae5eb568d24dfe5af40ead0d759d8b9,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/cuaac/openai_one_shot/repeat_02
N2-56C8A1EB,GPT-5.4,openai,One-shot,CuAAC,0.965278,0.958333,0.031823,0.979167,0,0,openai,repeat_03,499342794,9bc44f7372d1361746e42065f37551e956b5f56614f93149ffb21624e34e7fb7,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/cuaac/openai_one_shot/repeat_03
N2-DE57F440,GPT-5.4,openai,FlowPilot,CuAAC,0.916667,0.895833,0.075116,0.927083,0,0,openai,repeat_01,2103846911,02cca8993dfbd28c2e030ad9c46422c30db54aafee5a41a8e3134907f5f7896b,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/cuaac/openai_flowpilot/repeat_01
N2-F56C1786,GPT-5.4,openai,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.96875,0,0,openai,repeat_02,1673681925,2e36650592778c3416c96d7354e45fcd2b63095d031f6ce091f0555dde6215a8,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/cuaac/openai_flowpilot/repeat_02
N2-A8923ABE,GPT-5.4,openai,FlowPilot,CuAAC,0.9375,0.9375,0.0625,0.96875,0,0,openai,repeat_03,403901366,daee2e0b6ad8c7fbe1ca1df8f5718693cd9dcadbfda50d0ec8754e0a0c54ffe8,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/cuaac/openai_flowpilot/repeat_03
N2-658335A0,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.820513,0.942308,0.262508,0.759615,1,1,claude,repeat_01,889283753,c403feb5c6bad31c2b896f0f9a44d18e4ffd90ae9925a53b36964a638ee47a1f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/claude_one_shot/repeat_01
N2-F0DB8ACE,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.846154,0.942308,0.21842,0.798077,1,1,claude,repeat_02,837526878,641d2fb75be4de4235a9b424979904a5d215384e21ca7156b9880a3a0217868a,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/claude_one_shot/repeat_02
N2-26BC9712,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.826923,0.865385,0.157411,0.807692,1,2,claude,repeat_03,404573235,137947b65d911485658d471f76da250d40ba46e9c5b5fdc3dd8217613a3f4e05,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/claude_one_shot/repeat_03
