candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-6A1144B7,GPT-4o,openai,One-shot,CuAAC,0.652778,0.708333,0.275073,0.802083,1,5,gpt4o,repeat_01,1007467219,643908cecf1db380c8d93ec0a4adcd5b0fcb3d3ca7d21453cdd6850b618189a3,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/gpt4o_one_shot/repeat_01
N2-24080647,GPT-4o,openai,One-shot,CuAAC,0.743056,0.729167,0.1671,0.822917,2,4,gpt4o,repeat_02,1964625555,929ea488daa7e0e0c42d931c4172a615ebf3a6f13b6be7a78b017af0992f7ea5,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/gpt4o_one_shot/repeat_02
N2-4EC923B8,GPT-4o,openai,One-shot,CuAAC,0.680556,0.6875,0.198008,0.78125,2,4,gpt4o,repeat_03,1560175074,a3b91e28c745338baa84c93a5487528b5d5bc91ffa201116fb5f3032b57cd271,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/gpt4o_one_shot/repeat_03
N2-08B84875,GPT-4o,openai,FlowPilot,CuAAC,0.944444,0.9375,0.05243,0.96875,0,0,gpt4o,repeat_01,1007467219,b77745b7d2cf678bec2488160deeee6aee3f64e25c3fa4150088f973a515da9f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/gpt4o_flowpilot/repeat_01
N2-63C165A4,GPT-4o,openai,FlowPilot,CuAAC,0.944444,0.9375,0.05243,0.96875,0,0,gpt4o,repeat_02,1964625555,d0a43c6aeb4e5039235bb5b36a157ee093710c81c60390863a0fa117000c700d,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/gpt4o_flowpilot/repeat_02
N2-36D03F78,GPT-4o,openai,FlowPilot,CuAAC,0.965278,0.958333,0.031823,0.979167,0,0,gpt4o,repeat_03,1560175074,d8f89670bbdf9e6b7ad06087fc459db1641bfbb64524d74a0d9bf62a3d5c6e81,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/gpt4o_flowpilot/repeat_03
N2-28623176,Claude Opus 4.6,anthropic,One-shot,CuAAC,0.951389,0.958333,0.05243,0.947917,0,0,claude_opus,repeat_01,317821507,75f79be61aff8e808275ea7a0d78fde8f9c94627cc9cd80c5d349909196860d2,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/claude_opus_one_shot/repeat_01
N2-4AF1799E,Claude Opus 4.6,anthropic,One-shot,CuAAC,0.923611,0.958333,0.098454,0.90625,0,0,claude_opus,repeat_02,12477367,95b9a5d93e04be7e32d31354d1ed9346f6b75f2ea6a108866a2fc5febb8b0b9c,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/claude_opus_one_shot/repeat_02
N2-B98DAC1A,Claude Opus 4.6,anthropic,One-shot,CuAAC,0.909722,0.979167,0.138715,0.875,0,0,claude_opus,repeat_03,1512920435,4b8d943c5c670aa12b09c7c78f15144b0b9d47c3b1138f2c06a0ec70b19d8e03,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/claude_opus_one_shot/repeat_03
N2-13332D12,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,0.930555,0.958333,0.086736,0.916667,0,0,claude_opus,repeat_01,317821507,7c1712d89afc0940866cb24829e4ba5cf9840a1aed6437b2f5f28361ea89c5a8,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/claude_opus_flowpilot/repeat_01
N2-B28D84AA,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,0.965278,0.958333,0.031823,0.96875,0,0,claude_opus,repeat_02,12477367,29b9d454ca6c46034fe51e3f4db963d9bcb635c899567b9394fd1ab1e4b80ed7,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/claude_opus_flowpilot/repeat_02
N2-E9622AF5,Claude Opus 4.6,anthropic,FlowPilot,CuAAC,0.958333,0.9375,0.036084,0.96875,0,0,claude_opus,repeat_03,1512920435,55c27dc8e6bf20dd4e319827a0cd3950d9e0f808e9aaafd5097801544b590869,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/cuaac/claude_opus_flowpilot/repeat_03
