candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags
N2-DE9454B0,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.927083,0,0
N2-414B6752,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.927083,0,0
N2-110E4388,Qwen3.6-27B,qwen,FlowPilot,CuAAC,0.840278,0.916667,0.20868,0.760417,1,3
N2-45C1A6CF,GPT-5.4,openai,One-shot,CuAAC,0.965278,0.979167,0.043368,0.989583,0,0
N2-D85E475A,GPT-5.4,openai,One-shot,CuAAC,0.958333,0.958333,0.041667,0.979167,0,0
N2-56C8A1EB,GPT-5.4,openai,One-shot,CuAAC,0.951389,0.9375,0.043368,0.958333,0,0
N2-DE57F440,GPT-5.4,openai,FlowPilot,CuAAC,0.805556,0.854167,0.222764,0.927083,1,2
N2-F56C1786,GPT-5.4,openai,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.958333,0,0
N2-A8923ABE,GPT-5.4,openai,FlowPilot,CuAAC,0.854167,0.916667,0.185171,0.958333,1,2
N2-91B57A73,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,0.958333,0.979167,0.05512,0.947917,0,0
N2-08E9094C,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,0.909722,0.9375,0.106908,0.895833,0,0
N2-88250C75,Claude Sonnet 4.6,anthropic,One-shot,CuAAC,0.9375,0.958333,0.075115,0.927083,0,0
N2-9141CE83,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.958333,0,0
N2-B2E7E0D0,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,0.951389,0.9375,0.043368,0.958333,0,0
N2-3DF31914,Claude Sonnet 4.6,anthropic,FlowPilot,CuAAC,0.958333,0.958333,0.041667,0.958333,0,0
