candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-EA1F3CBC,GPT-5.4,openai,One-shot,Photochemical oxidation,0.955128,0.942308,0.040032,0.971154,0,0,openai,repeat_01,1551791208,65d685960d0a472575e1b3a09b1cff21b1ba2ecd91b9cb395785041e09a21095,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/openai_one_shot/repeat_01
N2-6EC3874C,GPT-5.4,openai,One-shot,Photochemical oxidation,0.961539,0.942308,0.033308,0.971154,0,0,openai,repeat_02,161523717,595c24962a66ab99d5501353a2ef6005d17e2cb5027172987052b406d2128c95,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/openai_one_shot/repeat_02
N2-0E011400,GPT-5.4,openai,One-shot,Photochemical oxidation,0.929487,0.942308,0.07772,0.971154,0,0,openai,repeat_03,660804568,3974a615756789daeb32f5a044eff9e9f2f53d48cd58358dacb5ad0037c86906,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/openai_one_shot/repeat_03
N2-4061E17E,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.955128,0.980769,0.061818,0.990385,0,0,openai,repeat_01,837557799,56d84658be2a41a0c9bff0d28d7bd25851f95eeeaf8efb56461f23889f116c7d,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/openai_flowpilot/repeat_01
N2-3413FE33,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.967949,0.980769,0.040032,0.990385,0,0,openai,repeat_02,1035834224,04bcef9a55203dcffbe6fa080fa5d4efc1419d8a0a2fc551a1e64e2f7e2fc1ae,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/openai_flowpilot/repeat_02
N2-33C43F95,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.942308,0.961538,0.069337,0.980769,0,0,openai,repeat_03,392202796,3d38aca121cf3e931995848d24a054ffb616a6cf2085e8f5f44f1adacb81d3b1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/openai_flowpilot/repeat_03
N2-9718DA6F,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.935897,0.980769,0.094863,0.913461,1,1,claude,repeat_01,1067373958,90b93acedce36ff5017b08a6b276b331856eb6eb56ae11b798325e21ef223138,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/claude_one_shot/repeat_01
N2-137B4382,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.878205,0.942308,0.163556,0.846154,0,0,claude,repeat_02,961520441,3e0618b22a5244f7cf1d32fa339bb38dd74e50acc45dc5684504ef9e6b8ab947,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/claude_one_shot/repeat_02
N2-2013A06A,Claude Sonnet 4.6,anthropic,One-shot,Photochemical oxidation,0.897436,0.942308,0.130901,0.875,0,0,claude,repeat_03,689476623,24ff3b0bd429d7a6d5c737ce4cb31fedbcf567020bf5401fee43630a3f5c26b4,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/claude_one_shot/repeat_03
N2-730C7F4A,Claude Sonnet 4.6,anthropic,FlowPilot,Photochemical oxidation,0.942308,0.942308,0.057693,0.942308,0,0,claude,repeat_01,1962721600,28ae3ceec4447e8599c264f38a9ec0ad1319b6ed82953ababa42c1584c2aa0e4,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/claude_flowpilot/repeat_01
